iter	Recall	Logloss
0	0.7922077922	0.6743418563
1	0.859257022	0.6552935593
2	0.8296587134	0.6397501727
3	0.7973421927	0.6254254565
4	0.8212020538	0.6145320322
5	0.8423437028	0.5995837593
6	0.8154636062	0.5868738967
7	0.827846572	0.5756928157
8	0.8320749018	0.5644564012
9	0.8305647841	0.5536293812
10	0.8456659619	0.5453897976
11	0.8477801268	0.5371823889
12	0.8523104802	0.5300915481
13	0.8541226216	0.5224833543
14	0.851102386	0.5161501671
15	0.85653881	0.5078171351
16	0.8459679855	0.501299758
17	0.8471760797	0.4948591886
18	0.8514044095	0.4879911258
19	0.8646934461	0.481530051
20	0.8568408336	0.4763370545
21	0.8674116581	0.4707037278
22	0.864089399	0.4653793336
23	0.8616732105	0.4617541527
24	0.8649954696	0.4568329554
25	0.8532165509	0.4513885559
26	0.8610691634	0.4464939036
27	0.8625792812	0.442847104
28	0.8619752341	0.4391538877
29	0.8622772576	0.4354397878
30	0.8643914225	0.4315993419
31	0.8532165509	0.4277222783
32	0.8662035639	0.4225178808
33	0.8646934461	0.4187793765
34	0.8556327394	0.4154136019
35	0.8671096346	0.4126686318
36	0.8683177288	0.4104045915
37	0.8665055874	0.4073696061
38	0.866807611	0.4037535039
39	0.8655995168	0.4010334354
40	0.866807611	0.399217413
41	0.8701298701	0.3971652455
42	0.8698278466	0.3951045618
43	0.8704318937	0.3916172421
44	0.8704318937	0.3897241427
45	0.8701298701	0.3876227765
46	0.872244035	0.3851237244
47	0.8719420115	0.3820427849
48	0.8713379644	0.3805600943
49	0.8713379644	0.3779359536
50	0.8710359408	0.3756768327
51	0.8710359408	0.3734295496
52	0.8701298701	0.37221744
53	0.8704318937	0.3709640938
54	0.8707339172	0.3691612728
55	0.8689217759	0.3681324522
56	0.8680157052	0.365742267
57	0.8683177288	0.3641463626
58	0.8671096346	0.362332113
59	0.8659015403	0.3604393728
60	0.866807611	0.3577186278
61	0.866807611	0.3566335767
62	0.8671096346	0.3556244611
63	0.866807611	0.3540200712
64	0.8659015403	0.3532297003
65	0.8652974932	0.3512863647
66	0.8652974932	0.3499926455
67	0.8659015403	0.3490252751
68	0.8662035639	0.3482401416
69	0.8665055874	0.3473037451
70	0.866807611	0.3466766601
71	0.8665055874	0.3454846566
72	0.8655995168	0.3442965481
73	0.8659015403	0.3435971534
74	0.8652974932	0.3426808112
75	0.8646934461	0.341007936
76	0.8646934461	0.3397283208
77	0.8643914225	0.3390468651
78	0.8646934461	0.3383946428
79	0.8646934461	0.3373251374
80	0.8643914225	0.3367639883
81	0.8646934461	0.3356064724
82	0.8655995168	0.3348221337
83	0.8652974932	0.334350616
84	0.8659015403	0.3332819373
85	0.8655995168	0.3320684169
86	0.8655995168	0.3305741913
87	0.8652974932	0.330157931
88	0.8649954696	0.3297881258
89	0.8646934461	0.3283207995
90	0.8646934461	0.3273908439
91	0.864089399	0.326658631
92	0.864089399	0.3262491933
93	0.8643914225	0.3257918643
94	0.8643914225	0.3250915338
95	0.8646934461	0.324495955
96	0.8643914225	0.3238152773
97	0.8646934461	0.3234306266
98	0.8643914225	0.3230381396
99	0.8643914225	0.322517844
100	0.8649954696	0.3218589032
101	0.8643914225	0.3208268321
102	0.8646934461	0.3201439469
103	0.8637873754	0.3194378865
104	0.8625792812	0.3185182668
105	0.8634853519	0.3178921054
106	0.8625792812	0.3174713843
107	0.8625792812	0.3165758844
108	0.8628813047	0.3162392447
109	0.8631833283	0.3155334585
110	0.8628813047	0.3150003789
111	0.8625792812	0.3146337906
112	0.8622772576	0.3137167892
113	0.8622772576	0.3134068883
114	0.8622772576	0.3131469885
115	0.8622772576	0.3128514544
116	0.8616732105	0.3124774951
117	0.8619752341	0.3122117337
118	0.8607671398	0.3117809564
119	0.8607671398	0.3114527131
120	0.8616732105	0.3111181768
121	0.8610691634	0.3108416583
122	0.8607671398	0.3102714248
123	0.8604651163	0.3097716545
124	0.8607671398	0.3092931123
125	0.861371187	0.3087085357
126	0.861371187	0.3083496592
127	0.8601630927	0.3080907531
