iter	Passed	Remaining
0	13	13923
1	24	12227
2	37	12432
3	47	11935
4	58	11569
5	73	12136
6	86	12319
7	97	12047
8	109	12061
9	121	12044
10	134	12080
11	144	11921
12	155	11815
13	168	11865
14	178	11753
15	189	11657
16	202	11699
17	214	11697
18	224	11609
19	236	11609
20	250	11655
21	262	11662
22	273	11601
23	286	11655
24	299	11684
25	310	11633
26	323	11641
27	336	11679
28	349	11690
29	360	11662
30	371	11611
31	383	11590
32	396	11608
33	407	11582
34	419	11561
35	432	11594
36	445	11607
37	458	11617
38	469	11576
39	483	11606
40	498	11654
41	512	11690
42	524	11683
43	539	11716
44	549	11671
45	564	11701
46	576	11687
47	586	11635
48	598	11614
49	611	11624
50	622	11586
51	634	11572
52	647	11564
53	660	11578
54	673	11563
55	683	11520
56	695	11508
57	709	11529
58	721	11507
59	733	11485
60	747	11499
61	760	11510
62	772	11487
63	783	11453
64	794	11430
65	809	11451
66	822	11448
67	832	11411
68	846	11415
69	859	11418
70	871	11399
71	881	11364
72	894	11353
73	907	11357
74	921	11359
75	932	11341
76	945	11337
77	959	11340
78	972	11334
79	983	11307
80	994	11288
81	1008	11291
82	1022	11293
83	1035	11287
84	1047	11275
85	1059	11262
86	1073	11263
87	1086	11261
88	1102	11287
89	1119	11317
90	1132	11317
91	1153	11385
92	1167	11386
93	1180	11374
94	1193	11370
95	1207	11373
96	1222	11384
97	1238	11403
98	1258	11453
99	1274	11468
100	1291	11498
101	1307	11513
102	1323	11522
103	1338	11528
104	1354	11543
105	1367	11533
106	1378	11503
107	1390	11483
108	1407	11505
109	1422	11506
110	1437	11514
111	1453	11526
112	1468	11523
113	1483	11531
114	1497	11523
115	1510	11510
116	1525	11513
117	1538	11503
118	1557	11531
119	1570	11519
120	1585	11521
121	1602	11531
122	1615	11522
123	1629	11511
124	1642	11494
125	1653	11469
126	1667	11462
127	1680	11447
128	1692	11430
129	1703	11403
130	1715	11383
131	1728	11367
132	1739	11339
133	1751	11318
134	1765	11310
135	1777	11293
136	1788	11264
137	1799	11241
138	1813	11231
139	1825	11214
140	1836	11188
141	1848	11171
142	1864	11171
143	1879	11170
144	1894	11168
145	1907	11159
146	1918	11133
147	1930	11113
148	1944	11106
149	1958	11097
150	1969	11074
151	1980	11049
152	1993	11036
153	2005	11019
154	2017	10997
155	2028	10973
156	2042	10967
157	2054	10950
158	2066	10929
159	2080	10921
160	2093	10908
161	2107	10900
162	2118	10880
163	2129	10855
164	2141	10839
165	2154	10824
166	2164	10799
167	2176	10781
168	2190	10768
169	2202	10753
170	2213	10731
171	2225	10714
172	2239	10704
173	2251	10688
174	2262	10664
175	2273	10645
176	2287	10636
177	2298	10615
178	2310	10595
179	2322	10578
180	2334	10564
181	2345	10543
182	2357	10526
183	2370	10512
184	2382	10495
185	2393	10475
186	2405	10457
187	2418	10444
188	2429	10425
189	2440	10405
190	2452	10387
191	2465	10377
192	2476	10356
193	2487	10335
194	2505	10344
195	2519	10335
196	2532	10321
197	2543	10300
198	2554	10283
199	2567	10269
200	2579	10255
201	2590	10235
202	2603	10223
203	2617	10215
204	2632	10207
205	2642	10185
206	2653	10166
207	2666	10153
208	2679	10141
209	2691	10124
210	2703	10109
211	2716	10095
212	2729	10086
213	2741	10070
214	2752	10050
215	2766	10041
216	2779	10030
217	2792	10015
218	2802	9995
219	2816	9984
220	2830	9976
221	2843	9964
222	2853	9942
223	2865	9926
224	2878	9915
225	2890	9900
226	2901	9880
227	2916	9873
228	2931	9871
229	2945	9861
230	2958	9848
231	2969	9828
232	2980	9809
233	2993	9798
234	3003	9778
235	3014	9758
236	3028	9750
237	3041	9738
238	3053	9723
239	3064	9704
240	3077	9691
241	3089	9677
242	3100	9659
243	3111	9641
244	3125	9631
245	3137	9617
246	3148	9598
247	3160	9582
248	3175	9577
249	3187	9563
250	3198	9545
251	3210	9528
252	3223	9518
253	3235	9502
254	3246	9484
255	3258	9470
256	3271	9459
257	3283	9443
258	3294	9426
259	3306	9412
260	3320	9401
261	3333	9390
262	3346	9377
263	3358	9363
264	3372	9352
265	3384	9338
266	3396	9323
267	3409	9312
268	3424	9305
269	3453	9337
270	3470	9335
271	3487	9333
272	3500	9322
273	3511	9303
274	3523	9289
275	3538	9281
276	3551	9269
277	3565	9259
278	3583	9259
279	3594	9243
280	3605	9226
281	3619	9214
282	3631	9200
283	3642	9182
284	3683	9240
285	3730	9313
286	3749	9316
287	3764	9305
288	3774	9287
289	3787	9272
290	3800	9260
291	3814	9248
292	3827	9235
293	3838	9218
294	3853	9209
295	3874	9213
296	3888	9203
297	3904	9197
298	3918	9187
299	3934	9180
300	3950	9173
301	3966	9167
302	3981	9159
303	3997	9151
304	4010	9138
305	4023	9124
306	4037	9113
307	4052	9104
308	4070	9103
309	4085	9092
310	4100	9085
311	4115	9074
312	4130	9066
313	4145	9055
314	4157	9040
315	4170	9026
316	4183	9012
317	4196	9001
318	4210	8988
319	4222	8972
320	4232	8953
321	4246	8941
322	4260	8929
323	4270	8910
324	4282	8895
325	4295	8880
326	4309	8868
327	4320	8851
328	4331	8833
329	4344	8819
330	4357	8807
331	4369	8791
332	4381	8776
333	4396	8765
334	4411	8757
335	4426	8748
336	4443	8741
337	4466	8748
338	4482	8740
339	4499	8735
340	4512	8721
341	4527	8711
342	4542	8700
343	4557	8690
344	4569	8675
345	4584	8665
346	4595	8648
347	4610	8638
348	4626	8630
349	4641	8619
350	4655	8607
351	4665	8589
352	4680	8578
353	4692	8562
354	4706	8550
355	4718	8535
356	4729	8518
357	4741	8502
358	4755	8491
359	4770	8480
360	4781	8463
361	4792	8445
362	4805	8433
363	4818	8419
364	4829	8402
365	4840	8384
366	4853	8371
367	4869	8362
368	4881	8348
369	4893	8332
370	4905	8316
371	4918	8303
372	4931	8289
373	4941	8271
374	4954	8257
375	4967	8244
376	4980	8229
377	4991	8213
378	5003	8198
379	5017	8186
380	5031	8174
381	5044	8161
382	5055	8144
383	5069	8131
384	5083	8120
385	5098	8109
386	5109	8093
387	5120	8076
388	5132	8062
389	5145	8048
390	5156	8031
391	5168	8015
392	5181	8003
393	5194	7989
394	5205	7972
395	5215	7955
396	5228	7942
397	5239	7925
398	5250	7908
399	5265	7897
400	5279	7886
401	5291	7871
402	5303	7855
403	5314	7840
404	5327	7826
405	5337	7808
406	5348	7792
407	5361	7779
408	5374	7765
409	5385	7749
410	5398	7737
411	5411	7723
412	5425	7711
413	5439	7699
414	5452	7685
415	5463	7669
416	5478	7658
